a,p,q,f,l,T,m,M
660014240,74.19000000,0.41400000,1987474498,1987474498,1782068433345,False,True
660014241,74.19000000,0.75500000,1987474499,1987474499,1782068434214,False,True
660014242,74.19000000,73.41300000,1987474500,1987474517,1782068435232,False,True
660014243,74.19000000,23.36700000,1987474518,1987474518,1782068437730,False,True
660014244,74.18000000,2.01700000,1987474519,1987474519,1782068437916,True,True
660014245,74.19000000,0.84900000,1987474520,1987474520,1782068438368,False,True
660014246,74.19000000,4.64200000,1987474521,1987474537,1782068439096,False,True
660014247,74.20000000,2.98100000,1987474538,1987474558,1782068439154,False,True
660014248,74.21000000,0.17500000,1987474559,1987474559,1782068440138,False,True
660014249,74.21000000,1.01000000,1987474560,1987474570,1782068441953,False,True
660014250,74.21000000,24.17700000,1987474571,1987474586,1782068443633,False,True
660014251,74.21000000,1.00000000,1987474587,1987474600,1782068443661,False,True
660014252,74.21000000,1.66800000,1987474601,1987474620,1782068446921,True,True
660014253,74.21000000,2.72100000,1987474621,1987474621,1782068448569,False,True
660014254,74.21000000,2.69500000,1987474622,1987474622,1782068450486,False,True
660014255,74.21000000,11.18400000,1987474623,1987474636,1782068450854,False,True
660014256,74.21000000,0.40300000,1987474637,1987474637,1782068450855,False,True
660014257,74.21000000,0.36000000,1987474638,1987474642,1782068450857,False,True
660014258,74.21000000,0.34000000,1987474643,1987474647,1782068450857,False,True
660014259,74.21000000,14.35000000,1987474648,1987474661,1782068450859,False,True
660014260,74.22000000,100.21800000,1987474662,1987474684,1782068452769,False,True
660014261,74.21000000,0.09600000,1987474685,1987474685,1782068454919,True,True
660014262,74.22000000,0.23700000,1987474686,1987474686,1782068454920,False,True
660014263,74.21000000,0.54900000,1987474687,1987474687,1782068456646,True,True
660014264,74.21000000,0.08100000,1987474688,1987474688,1782068456847,True,True
660014265,74.22000000,2.00000000,1987474689,1987474698,1782068458538,False,True
660014266,74.21000000,0.35000000,1987474699,1987474699,1782068458639,True,True
660014267,74.21000000,12.79900000,1987474700,1987474701,1782068458659,True,True
660014268,74.21000000,17.68500000,1987474702,1987474703,1782068458659,True,True
660014269,74.21000000,2.92600000,1987474704,1987474704,1782068458660,True,True
660014270,74.21000000,9.64400000,1987474705,1987474705,1782068458660,True,True
660014271,74.21000000,10.16000000,1987474706,1987474706,1782068458661,True,True
660014272,74.21000000,6.66600000,1987474707,1987474708,1782068458661,True,True
660014273,74.21000000,3.61500000,1987474709,1987474709,1782068458662,True,True
660014274,74.21000000,1.63100000,1987474710,1987474710,1782068458662,True,True
660014275,74.21000000,17.21400000,1987474711,1987474711,1782068458663,True,True
660014276,74.21000000,9.23100000,1987474712,1987474725,1782068458663,True,True
660014277,74.21000000,1.88400000,1987474726,1987474728,1782068458663,True,True
660014278,74.21000000,2.93700000,1987474729,1987474729,1782068458664,True,True
660014279,74.21000000,4.78000000,1987474730,1987474730,1782068458664,True,True
660014280,74.21000000,5.65300000,1987474731,1987474731,1782068458665,True,True
660014281,74.21000000,3.32400000,1987474732,1987474732,1782068458665,True,True
660014282,74.21000000,2.48900000,1987474733,1987474733,1782068458665,True,True
660014283,74.21000000,10.24200000,1987474734,1987474734,1782068458666,True,True
660014284,74.21000000,1.63700000,1987474735,1987474735,1782068458666,True,True
660014285,74.21000000,3.17300000,1987474736,1987474736,1782068458667,True,True
660014286,74.21000000,9.27900000,1987474737,1987474737,1782068458667,True,True
660014287,74.21000000,19.25900000,1987474738,1987474757,1782068460857,True,True
660014288,74.20000000,1.48800000,1987474758,1987474775,1782068460871,True,True
660014289,74.19000000,1.46400000,1987474776,1987474778,1782068460916,True,True
660014290,74.20000000,0.12500000,1987474779,1987474780,1782068461380,False,True
660014291,74.20000000,15.05400000,1987474781,1987474800,1782068463050,False,True
660014292,74.21000000,0.07500000,1987474801,1987474801,1782068465261,False,True
660014293,74.21000000,2.63400000,1987474802,1987474819,1782068465569,False,True
660014294,74.21000000,2.10000000,1987474820,1987474820,1782068465572,False,True
660014295,74.21000000,3.97800000,1987474821,1987474821,1782068465572,False,True
660014296,74.21000000,0.36100000,1987474822,1987474822,1782068465573,False,True
660014297,74.21000000,0.49300000,1987474823,1987474823,1782068465575,False,True
660014298,74.21000000,0.46400000,1987474824,1987474824,1782068465576,False,True
660014299,74.21000000,6.45100000,1987474825,1987474839,1782068465578,False,True
660014300,74.21000000,0.35700000,1987474840,1987474844,1782068465579,False,True
660014301,74.22000000,15.58000000,1987474845,1987474866,1782068466421,False,True
660014302,74.23000000,1.76400000,1987474867,1987474869,1782068467887,False,True
660014303,74.22000000,33.02700000,1987474870,1987474870,1782068468262,True,True
660014304,74.23000000,15.32200000,1987474871,1987474892,1782068472846,False,True
